id	name	plugins	kind_plugin	true_gaps	green	amber	yellow	avg_conf	changelog_url	website	portal	portal_app	version_scheme	hub	pb_method	hosts	extracts	kinds
tone-empire	Tone Empire	3	3	2	1	0	0	85.0		https://tone-empire.com/	https://tone-empire.com/			0		tone-empire.com:1	?:1	plugin:3
boom-library	Boom Library	2	2	2	0	0	0			https://www.boomlibrary.com/	https://www.boomlibrary.com/			0				plugin:2
forever-89	Forever 89	2	2	1	0	1	0	70.0		https://forever89.studio/	https://forever89.studio/			0		forever89.studio:1	?:1	plugin:2
soundtheory	Soundtheory	2	2	2	0	0	0		https://www.soundtheory.com/static/Gullfoss Changelog.pdf	https://www.soundtheory.com/	https://www.soundtheory.com/		semver	0				plugin:2
aberrant-dsp	Aberrant DSP	1	1	0	1	0	0	92.0		https://aberrantdsp.com	https://aberrantdsp.com/		semver	0	Public Update Log tables with dated vX.Y rows.	aberrantdsp.com:1	updatesTable:1	plugin:1
dexed	Dexed	1	1	0	1	0	0	90.0	https://github.com/asb2m10/dexed/releases	https://asb2m10.github.io/dexed/	https://asb2m10.github.io/dexed/		semver	0		github.com:1	github-releases-latest-tag:1	plugin:1
fiedler-audio	Fiedler Audio	1	1	0	1	0	0	95.0		https://www.fiedler-audio.com	https://www.fiedler-audio.com/			0		www.plugin-alliance.com:1	live-html-sha256:1	plugin:1
karanyi	Karanyi Sounds	1	1	0	1	0	0	88.0		https://karanyisounds.com	https://karanyisounds.com/			0		www.plugin-alliance.com:1	pa-installer-filename:1	plugin:1
lennardigital	LennarDigital	1	1	0	0	0	1	60.0	https://www.lennardigital.com	https://www.lennardigital.com	https://www.lennardigital.com/downloads/		3-part semver (major.minor.patch)	1	Product marketing page has no public semver; downloads account-walled. Use KVR verwin.	www.kvraudio.com:1	kvr-product-page:1	plugin:1
louder-than-liftoff	Louder Than Liftoff	1	1	0	1	0	0	88.0		https://www.louderthanliftoff.com	https://www.louderthanliftoff.com/			0		www.plugin-alliance.com:1	pa-installer-filename:1	plugin:1
pitchinnovations	PitchInnovations	1	1	0	0	1	0	70.0	https://pitchinnovations.com/blog/fluid-chords-v-1-4-update-everything-you-need-to-know/		https://pitchinnovations.com		semver	0		duc.avid.com:1	?:1	plugin:1
reveal-sound	Reveal Sound	1	1	0	1	0	0	92.0	https://www.reveal-sound.com/content/changelog.php?spire	https://www.reveal-sound.com	https://www.reveal-sound.com		3-part semver (major.minor.patch)	0		www.reveal-sound.com:1	?:1	plugin:1
safari-pedals	Safari Pedals	1	1	0	0	0	1	60.0		https://www.safaripedals.com	https://www.safaripedals.com/			0	KVR product page verwin	www.kvraudio.com:1	kvr-product-page:1	plugin:1
scuffham-amps	Scuffham Amps	1	1	0	1	0	0	92.0	https://www.scuffhamamps.com/download/s-gear-v3	https://www.scuffhamamps.com	https://www.scuffhamamps.com/downloads		semver	0	KVR product page verwin	scuffhamamps.com:1	?:1	plugin:1
sir-audio-tools	SIR Audio Tools	1	1	0	1	0	0	90.0		https://www.siraudiotools.com	https://www.siraudiotools.com/support.php			0	KVR product page verwin	www.siraudiotools.com:1	installer-filename-official-domain:1	plugin:1
sonic-academy	Sonic Academy	1	1	0	1	0	0	85.0		https://www.sonicacademy.com	https://www.sonicacademy.com/users/sign_in		major.minor.patch with optional 'b' beta suffix	0	ANA 2 product page embeds versioned CDN zip filename (e.g. Sonic_Academy_ANA_2.5.6.zip).	www.sonicacademy.com:1	product-page-installer-filename:1	plugin:1
soundspot	Soundspot	1	0	0	0	0	0			https://www.soundspot.co	https://www.soundspot.co/			0				discontinued:1
splice	Splice	1	1	0	1	0	0	90.0		https://splice.com	https://splice.com/	Splice	semver 3-part	0	Homebrew cask JSON for Splice app version (formulae.brew.sh).	desktop.splice.com:1	installer-filename-cdn:1	plugin:1
steven-slate	Steven Slate Audio	1	0	0	0	0	0			https://stevenslatedrums.com	https://my.slateaudio.com/	Steven Slate account	marketing	0				gen_ambiguous:1
supertone	Supertone	1	1	0	0	0	1	60.0		https://supertone.ai	https://supertone.ai/			0	KVR product page verwin	www.kvraudio.com:1	kvr-product-page:1	plugin:1
synthogy	Synthogy	1	1	0	1	0	0	90.0	https://synthogy.com/support/updates	https://www.synthogy.com	https://www.synthogy.com/		semver	0	KVR product page verwin	synthogy.com:1	installer-filename-official-domain:1	plugin:1
tbproaudio	TBProAudio	1	1	0	1	0	0	92.0		https://www.tb-software.com	https://www.tb-software.com/TBProAudio/download.html		semver 3-part	0		www.tbproaudio.de:1	manual-html-parse:1	plugin:1
tekit-audio	Tek'it Audio	1	1	0	1	0	0	92.0		https://tekit-audio.com	https://tekit-audio.com/downloads/			0		tekitaudio.itch.io:1	manual-html-parse:1	plugin:1
thx	THX	1	1	0	1	0	0	88.0		https://www.thx.com	https://www.thx.com/			0		www.plugin-alliance.com:1	pa-installer-filename:1	plugin:1
